LEAST SQUARES, k_fold=5
Least squares: (degree: 3, lambda: 0.1, accuracy: 0.8355219697727956)
Jet0: model=least squares, degree=3, lambda=0.1, accuracy=0.8355219697727956
degree=4,	 lambda=1.000000e-06,	 accuracy=0.751566409768792
degree=4,	 lambda=1.000000e-05,	 accuracy=0.6977479731758583
degree=4,	 lambda=1.000000e-04,	 accuracy=0.7597637874086678
degree=4,	 lambda=1.000000e-03,	 accuracy=0.7582224001601442
degree=4,	 lambda=1.000000e-02,	 accuracy=0.783595235712141
degree=4,	 lambda=1.000000e-01,	 accuracy=0.7757181463316984
degree=4,	 lambda=1.000000e+00,	 accuracy=0.7099889900910819
degree=4,	 lambda=1.000000e+01,	 accuracy=0.8006505855269743
degree=4,	 lambda=1.000000e+02,	 accuracy=0.7303973576218598
degree=4,	 lambda=1.000000e+03,	 accuracy=0.5906315684115704
degree=4,	 lambda=1.000000e+04,	 accuracy=0.7069762786507857
degree=5,	 lambda=1.000000e-20,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-19,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-18,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-17,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-16,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-15,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-14,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-13,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-12,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-11,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-10,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-09,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-08,	 accuracy=0 - singular matrix
degree=5,	 lambda=1.000000e-07,	 accuracy=0.6669102191972776
degree=5,	 lambda=1.000000e-06,	 accuracy=0.6671804624161746
degree=5,	 lambda=1.000000e-05,	 accuracy=0.5288960064057652
degree=5,	 lambda=1.000000e-04,	 accuracy=0.6137623861475328
degree=5,	 lambda=1.000000e-03,	 accuracy=0.6868481633470124
degree=5,	 lambda=1.000000e-02,	 accuracy=0.4900710639575617
degree=5,	 lambda=1.000000e-01,	 accuracy=0.5702932639375439
degree=5,	 lambda=1.000000e+00,	 accuracy=0.4846361725552997
degree=5,	 lambda=1.000000e+01,	 accuracy=0.6612150935842258
degree=5,	 lambda=1.000000e+02,	 accuracy=0.5534481032929637
degree=5,	 lambda=1.000000e+03,	 accuracy=0.6121609448503653
degree=5,	 lambda=1.000000e+04,	 accuracy=0.5026924231808627
degree=6,	 lambda=1.000000e-20,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-19,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-18,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-17,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-16,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-15,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-14,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-13,	 accuracy=0 - singular matrix
degree=6,	 lambda=1.000000e-12,	 accuracy=0 - singular matrix
